abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.207,0.208,0.206,0.185,0.184,0.184,0.258,0.255,0.255,0.267,0.267,0.263
B,0.208,0.205,0.206,0.169,0.168,0.168,0.295,0.29,0.294,0.272,0.266,0.269
C,0.207,0.211,0.212,0.168,0.168,0.165,0.303,0.304,0.302,4.10E-02,4.10E-02,4.10E-02
D,0.192,0.189,0.19,0.153,0.148,0.15,0.297,0.288,0.285,0.124,0.121,0.122
E,0.201,0.192,0.191,0.163,0.17,0.153,0.281,0.267,0.27,0.174,0.197,0.198
F,0.213,0.211,0.209,0.184,0.18,0.183,0.273,0.271,0.269,0.252,0.248,0.272
G,0.228,0.219,0.223,0.192,0.188,0.184,0.278,0.275,0.274,0.341,0.342,0.311
H,0.176,0.174,0.175,0.274,0.272,0.271,0.257,0.257,0.257,0.321,0.325,0.292
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,76,76,76,84,84,84,92,92,92,100,100,100
B,77,77,77,85,85,85,93,93,93,354,354,354
C,78,78,78,86,86,86,94,94,94,ddi_blank,ddi_blank,ddi_blank
D,79,79,79,87,87,87,95,95,95,0.005_M_std,0.005_M_std,0.005_M_std
E,80,80,80,88,88,88,96,96,96,0.01_M_std,0.01_M_std,0.01_M_std
F,81,81,81,89,89,89,97,97,97,0.015_M_std,0.015_M_std,0.015_M_std
G,82,82,82,90,90,90,98,98,98,0.02_M_std,0.02_M_std,0.02_M_std
H,83,83,83,91,91,91,99,99,99,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
