abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.172,0.173,0.171,0.199,0.2,0.198,0.324,0.323,0.322,0.199,0.195,0.195
B,0.187,0.185,0.186,0.21,0.207,0.203,0.216,0.212,0.213,0.261,0.256,0.256
C,0.179,0.178,0.178,0.196,0.188,0.188,0.214,0.212,0.223,0.129,0.13,0.128
D,0.22,0.219,0.221,0.219,0.216,0.217,0.222,0.219,0.217,0.217,0.212,0.212
E,0.21,0.201,0.202,0.216,0.22,0.216,0.214,0.213,0.213,0.296,0.293,0.293
F,0.186,0.184,0.189,0.21,0.209,0.206,0.227,0.224,0.224,0.386,0.386,0.384
G,0.189,0.186,0.186,0.204,0.204,0.201,0.216,0.214,0.215,0.354,0.354,0.355
H,0.208,0.215,0.209,0.207,0.21,0.208,0.337,0.337,0.338,0.04,4.20E-02,4.40E-02
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,26,26,26,34,34,34,42,42,42,50,50,50
B,27,27,27,35,35,35,43,43,43,353,353,353
C,28,28,28,36,36,36,44,44,44,0.005_M_std,0.005_M_std,0.005_M_std
D,29,29,29,37,37,37,45,45,45,0.01_M_std,0.01_M_std,0.01_M_std
E,30,30,30,38,38,38,46,46,46,0.015_M_std,0.015_M_std,0.015_M_std
F,31,31,31,39,39,39,47,47,47,0.02_M_std,0.02_M_std,0.02_M_std
G,32,32,32,40,40,40,48,48,48,rgt_blank,rgt_blank,rgt_blank
H,33,33,33,41,41,41,49,49,49,ddi_blank,ddi_blank,ddi_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,bad,bad,bad,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,bad,bad,bad,,,
