abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.298,0.298,0.296,0.295,0.28,0.269,0.292,0.284,0.288,0.293,0.287,0.283
B,0.265,0.262,0.224,0.293,0.276,0.294,0.35,0.348,0.349,0.235,0.232,0.233
C,0.285,0.287,0.281,0.297,0.293,0.295,0.328,0.323,0.326,4.20E-02,3.90E-02,3.90E-02
D,0.257,0.252,0.251,0.284,0.283,0.285,0.302,0.296,0.304,0.126,0.125,0.128
E,0.261,0.26,0.259,0.312,0.312,0.311,0.302,0.296,0.296,0.202,0.199,0.201
F,0.267,0.261,0.26,0.324,0.32,0.317,0.29,0.296,0.288,0.286,0.285,0.287
G,0.251,0.249,0.252,0.319,0.316,0.316,0.286,0.28,0.282,0.377,0.374,0.371
H,0.292,0.292,0.273,0.297,0.295,0.295,0.285,0.287,0.285,0.382,0.382,0.384
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,151,151,151,159,159,159,167,167,167,175,175,175
B,152,152,152,160,160,160,168,168,168,355,355,355
C,153,153,153,161,161,161,169,169,169,ddi_blank,ddi_blank,ddi_blank
D,154,154,154,162,162,162,170,170,170,0.005_M_std,0.005_M_std,0.005_M_std
E,155,155,155,163,163,163,171,171,171,0.01_M_std,0.01_M_std,0.01_M_std
F,156,156,156,164,164,164,172,172,172,0.015_M_std,0.015_M_std,0.015_M_std
G,157,157,157,165,165,165,173,173,173,0.02_M_std,0.02_M_std,0.02_M_std
H,158,158,158,166,166,166,174,174,174,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,bad,bad,bad,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
