abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.395,0.394,0.397,4.80E-02,4.80E-02,4.70E-02,4.80E-02,4.70E-02,4.90E-02,4.70E-02,4.80E-02,4.90E-02
B,0.362,0.362,0.361,4.90E-02,4.90E-02,4.90E-02,4.80E-02,4.80E-02,6.50E-02,0.273,0.272,0.271
C,0.05,5.10E-02,0.05,5.10E-02,5.10E-02,5.20E-02,5.10E-02,5.10E-02,0.05,4.10E-02,0.04,3.90E-02
D,5.10E-02,5.30E-02,5.10E-02,5.10E-02,0.05,0.05,0.05,0.05,0.05,0.137,0.138,0.136
E,5.10E-02,5.10E-02,5.10E-02,5.20E-02,5.20E-02,5.20E-02,0.05,5.10E-02,5.20E-02,0.236,0.236,0.233
F,5.50E-02,5.30E-02,5.20E-02,5.20E-02,0.05,5.10E-02,5.50E-02,0.05,4.80E-02,0.337,0.338,0.336
G,0.05,5.10E-02,0.05,0.05,0.05,0.05,5.10E-02,5.10E-02,0.05,0.433,0.43,0.426
H,0.05,5.20E-02,5.20E-02,0.05,4.90E-02,4.90E-02,4.80E-02,4.90E-02,4.70E-02,0.416,0.417,0.417
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,351,351,351,,,,,,,,,
B,352,352,352,,,,,,,357,357,357
C,,,,,,,,,,ddi_blank,ddi_blank,ddi_blank
D,,,,,,,,,,0.005_M_std,0.005_M_std,0.005_M_std
E,,,,,,,,,,0.01_M_std,0.01_M_std,0.01_M_std
F,,,,,,,,,,0.015_M_std,0.015_M_std,0.015_M_std
G,,,,,,,,,,0.02_M_std,0.02_M_std,0.02_M_std
H,,,,,,,,,,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
