abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.263,0.267,0.265,0.318,0.308,0.331,0.353,0.35,0.345,0.305,0.306,0.301
B,0.278,0.274,0.275,0.333,0.33,0.328,0.358,0.355,0.357,0.274,0.276,0.273
C,0.297,0.298,0.292,0.321,0.327,0.323,0.365,0.362,0.364,4.20E-02,4.10E-02,0.04
D,0.324,0.318,0.315,0.329,0.325,0.327,0.343,0.339,0.343,0.127,0.126,0.125
E,0.333,0.33,0.331,0.325,0.338,0.334,0.335,0.332,0.334,0.232,0.232,0.229
F,0.336,0.352,0.334,0.371,0.363,0.367,0.356,0.354,0.351,0.332,0.326,0.325
G,0.335,0.336,0.336,0.339,0.357,0.33,0.345,0.344,0.341,0.423,0.424,0.421
H,0.316,0.319,0.319,0.35,0.373,0.353,0.313,0.312,0.312,0.425,0.425,0.426
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,226,226,226,234,234,234,242,242,242,250,250,250
B,227,227,227,235,235,235,243,243,243,357,357,357
C,228,228,228,236,236,236,244,244,244,ddi_blank,ddi_blank,ddi_blank
D,229,229,229,237,237,237,245,245,245,0.005_M_std,0.005_M_std,0.005_M_std
E,230,230,230,238,238,238,246,246,246,0.01_M_std,0.01_M_std,0.01_M_std
F,231,231,231,239,239,239,247,247,247,0.015_M_std,0.015_M_std,0.015_M_std
G,232,232,232,240,240,240,248,248,248,0.02_M_std,0.02_M_std,0.02_M_std
H,233,233,233,241,241,241,249,249,249,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
